name,ingredients,nova
Frosted Mini-Wheats High Fiber Breakfast Cereal,"Whole Grain Wheat, Sugar, Contains 2% Or Less Of Brown Rice Syrup, Gelatin. Vitamins And Minerals: Reduced Iron, Folic Acid.",4
Tostitos Tortilla Chips Restaurant Style,"Corn, Vegetable Oil (Corn, Canola, and/or Sunflower Oil), and Salt.",3
Rosarita Traditional Refried Beans,"Cooked Beans, Water, Less than 2% of: Lard, Salt, Distilled Vinegar, Chili Pepper, Onion Powder, Spices, Natural Flavor, Garlic Powder. ",4
Cacique Ranchero Queso Fresco Part Skim Milk Cheese,"Cultured Pasteurized Grade A Milk and Skim Milk, Sea Salt, and Enzymes",4
Rice Dream Rice Drink Enriched Original Organic,"Organic Ricemilk (Water, Organic Hydrolyzed Rice), Organic Canola Oil and/or Organic Sunflower Oil, Tricalcium Phosphate, Sea Salt, Vitamin A Palmitate, Vitamin D2 (Ergocalciferol), Vitamin B12 (Cyanocobalamin).",4
Pacifico Clara 4.4% ABV Lager Mexican Beer Bottle,"Water, Barley Malt, Non-malted Cereals, Hops",3
Eggo Buttermilk Frozen Breakfast Waffles,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Water, Vegetable Oil (Soybean, Palm, Canola And/Or Cottonseed), Buttermilk, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Sugar, Contains 2% Or Less Of Salt, Eggs, Soy Lecithin. Vitamins And Minerals: Calcium Carbonate, Iron, Vitamin A Palmitate, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12.",4
Signature SELECT Sausage Egg Cheese Muffin Sandwich,"White English Muffin: Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Dextrose, Contains Less than 2% of the Following: Cornmeal, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Potato Flour, Distilled Vinegar, Salt, Calcium Propionate, Wheat Gluten, Water, Monoglycerides, Propionic Acid, Phosphoric Acid, Fumaric Acid, Hydrogenated Soybean Oil, Non-GMO Soybean Oil, Fumaric Acid, Potassium Sorbate, Mineral Oil (Processing Aid), Non Fat Dry Milk. Pork Sausage Patty: Pork, Water, Contains 2% or Less of: Salt, Sugar, Sodium Phosphate, Spice, Dextrose, Flavoring, BHA, Propyl Gallate, Citric Acid, Caramel Color. Scrambled Egg Patty: Whole Eggs, Water, Soybean Oil, Modified Food Starch, Whey Solids, Salt, Non Fat Dry Milk, Citric Acid. Pasteurized Process American Cheese: Cultured Milk and Skim Milk, Cream, Sodium Citrate, Salt, Paprika and Annatto (Color), Sodium Phosphate, Acetic Acid, Enzymes, Sorbic Acid (Preservative), Soy Lecithin (Anti-Sticking Agent)",4
Diet Coke Soda Pop Cola Caffeine Free,"CARBONATED WATER, CARAMEL COLOR, ASPARTAME, PHOSPHORIC ACID, POTASSIUM BENZOATE (TO PROTECT TASTE), NATURAL FLAVORS, CITRIC ACID.",4
Green Asparagus,Asparagus Raw,1
Strawberries Prepacked ,Strawberries,1
Orange,Orange,1
Cabbage,Cabbage,1
Green Onion,Green onion,1
Onion,Onion,1
Banana,Banana,1
Chicken thigh,chicken thigh,1
Pork belly,pork belly,1
Blueberry,blueberry,1
Raspberry,raspberry,1
Sweetarts Gummy Fruity Splitz Pouch,"Corn Syrup, Sugar, Water, Gelatin, Contains 2% or Less of Malic Acid (DL-Malic Acid), Citric Acid, Pectin, Sodium Citrate, Coconut Oil, Color Added, Natural Flavors, Carnauba Wax, Yellow 5, Red 40, Yellow 6, Blue 1.",4
Reese's Milk Chocolate And Peanut Butter Snack Size Cups Candy Bag,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, SUGAR, DEXTROSE, SALT, TBHQ &amp; CITRIC ACID (TO MAINTAIN FRESHNESS).",4
Signature SELECT Peaches Halves in 100% Juice Can,"Peaches, Water, Pear Juice Concentrate, Peach Pulp and Juice, Ascorbic Acid (Vitamin C) to Protect Color.",3
Miracle Noodle Ready To Eat Pho Shirataki Noodles,"Water, Konjac Flour, Citric Acid, Soup Ingredients: Vegetable Juices (Onion Mushroom, Carrot, Celery, Garlic), Maltodextrin, Sugar, Salt, Yeast Extract, Natural Flavor, Xanthan Gum.",4
Progresso Light Soup Italian Style Meatball ,"Water, Tomato Puree (Water, Tomato Paste), Carrots, Celery, Cooked Meatballs Made with Pork and Turkey (Pork, Turkey, Water, Textured Soy Protein Concentrate, Romano Cheese [Romano Cheese (Pasteurized Sheep's Milk, Cheese Cultures, Salt, Enzymes), Powdered Cellulose Added to Prevent Caking], Bread Crumbs [Bleached Wheat Flour, Dextrose, Salt, Yeast], Corn Syrup, Onions, Salt, Spices, Sodium Phosphates, Garlic Powder, Onion Powder, Natural Flavor), Penne Pasta (Semolina Wheat, Egg White), Contains Less than 1% of: Sugar, Green Sweet Pepper, Salt, Potassium Chloride, Onion Powder, Corn Protein (Hydrolyzed), Maltodextrin, Xanthan Gum, Yeast Extract, Spice, Natural Flavor, Tomato Extract, Garlic Powder, Citric Acid, Roasted Garlic (Dried), Lactic Acid, Nonfat Milk (Dried), Cream (Dried), Butter, Modified Food Starch, Cheddar Cheese (Dried) (Cultured Milk, Salt, Enzymes), Whey Powder, Buttermilk (Dried), Sodium Phosphate.",4
Nissin Cup Noodles Stir Fry Rice With Noodles Japanese Teriyaki Chicken,"Precooked Enriched Rice (Rice, Niacin, Ferric Phosphate, Thiamine Mononitrate, Folic Acid), Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (Palm Oil, Canola Oil, Safflower Oil), Sugar, Textured Soy Protein, Dried Bok Choy, Dried Carrot Strip, Dehydrated Soy Sauce (Maltodextrin, Salt, Wheat, Soybean), Dried Edamame, Contains Less than 2% of Autolyzed Yeast Extract, Brown Sugar, Caramel Color, Citric Acid, Concentrated Chicken Stock, Corn Starch, Dextrose, Disodium Guanylate, Disodium Inosinate, Disodium Succinate, Egg White, Egg Yolk, Garlic Powder, Hydrolyzed Corn Protein, Lactose, Maltodextrin, Natural Flavor, - Onion Powder, Potassium Carbonate, Powdered Chicken, Rendered Chicken Fat, Salt, Silicon Dioxide, Sodium Alginate, Sodium Carbonate, Sodium Tripolyphosphate, Spice, Sucralose, TBHQ (Preservative), Vinegar.",4
TAZO Tea Bags Herbal Tea Wild Sweet Orange ,"Lemongrass, Blackberry Leaves, Citric Acid, Rose Hips, Spearmint Leaves, Turmeric (for Color), Riboflavin (for Color), Orange Peel, Hibiscus Flowers, Natural Flavor, Rose Petals, Natural Orange Essence, Ginger Root, Licorice Root, Licorice Extract.",3
Tejava Ice Tea Peach Unsweetened,Signature SELECT Bread Sourdough San Francisco Style Round,3
Signature SELECT Bread Sourdough San Francisco Style Round,"Unbleached Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Salt, Wheat Gluten, Fumaric Acid, 2% or Less of Each of the Following: Palm Oil, Acetic Acid, Canola Oil, Lactic Acid, Ascorbic Acid, Enzymes, Yeast.",4
krusteaz Wild Blueberry Muffin Mix,"Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Food Starch-Modified, Natural Flavor, Salt, Dextrose, Arabic Gum, Soybean Oil, Leavening (Baking Soda, Sodium Aluminum Phosphate), Tapioca Starch, Xanthan Gum, Citric Acid. Blueberries: Blueberries, Water.",4
Claussen Kosher Dill Pickle Halves Jar,"FRESH CUCUMBERS, WATER, SALT, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF DRIED GARLIC, CALCIUM CHLORIDE, SODIUM BENZOATE (TO PRESERVE FLAVOR), SPICE, MUSTARD SEED, NATURAL FLAVOR, DRIED RED PEPPERS, POLYSORBATE 80, OLEORESIN TURMERIC.",4
Brookside Dark Chocolate With Acai And Blueberry Flavored Snacking Chocolate Bag,"DARK CHOCOLATE (SUGAR, CHOCOLATE*, COCOA BUTTER*, COCOA PROCESSED WITH ALKALI*, MILK FAT, LECITHIN (SOY), SALT, PGPR, NATURAL VANILLA FLAVOR), SUGAR, CORN SYRUP, MALTODEXTRIN, DEIONIZED APPLE JUICE CONCENTRATE, NATURAL FLAVOR, POMEGRANATE JUICE CONCENTRATE, PECTIN, MALIC ACID, APPLE JUICE CONCENTRATE, RASPBERRY JUICE CONCENTRATE, BLUEBERRY JUICE CONCENTRATE, CANOLA OIL, ACAI PUREE CONCENTRATE, CRANBERRY JUICE CONCENTRATE, LEMON JUICE CONCENTRATE, ASCORBIC ACID, BAKING SODA, SODIUM CITRATE, CITRIC ACID, CONFECTIONER'S GLAZE.",4
Truff Black Truffle Oil,"Olive Oil, Black Truffle Oil Concentrate, Black Winter Truffle (Tuber Melanosporum).",3
Soybean Oil.,Signature SELECT Oil Vegetable Pure,2
Bertolli Olive Oil Extra Virgin,Extra Virgin Olive Oil.,2
Signature SELECT Original Syrup,"Corn Syrup, High Fructose Corn Syrup, Water, Contains 2% or Less of: Natural and Artificial Flavors, Cellulose Gum, Salt, Caramel Color, Sodium Benzoate (Preservative), Sorbic Acid (Preservative), Sodium Hexametaphosphate.",4
Quaker Instant Oatmeal Apple And Cinnamon,"Whole Grain Oats, Sugar, Dried Apples, Natural Flavor, Salt, Cinnamon.",4
Carnation Breakfast Essentials Nutritional Milk Chocolate Powder Drink Mix,"Nonfat Milk, Maltodextrin, Sugar, Cocoa Processed with Alkali, Lactose, Vitamins and Minerals (Vitamins and Minerals: Calcium Phosphate, Magnesium Hydroxide Sodium Ascorbate, Choline Bitartrate DL-Alpha Tocopheryl Acetate, Ferric Phosphate, Niacinamide, Manganese Sulfate, Copper Gluconate, Zinc Oxide, Calcium Pantothenate, Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin A Palmitate, Riboflavin, Folio Acid, Vitamin K1, Chromium Chloride, Sodium Molybdate, Vitamin D3, Biotin), and Less than 2% of Soy Lecithin, Cellulose Gum, Natural Flavor, Salt.",4
Nature's Bakery Double Chocolate Brownie,"Whole Wheat Flour, Cane Sugar, Canola Oil, Date Paste, Cocoa Powder (Processed with Alkali), Glycerin, Brown Rice Syrup, Chocolate (Unsweetened Chocolate, Cane Sugar, Cocoa Butter, Cocoa Powder), Gum Acacia, Malted Barley Flour, Molasses, Sea Salt, Natural Flavors, Baking Soda.",4
Dreyers Edys Ice Cream Grand Strawberry,"Skim Milk, Cream, Sugar, Strawberries, Corn Syrup, Strawberry Syrup, Whey, Lemon Juice Concentrate, Guar Gum, Beet Juice Color, Carob Bean Gum, Carrageenan, Citric Acid, Natural Flavor.",4
Signature SELECT Iodized Salt,"Salt, Iodized",2
Morton Sea Salt Natural All Purpose,Sea Salt.,2
McCormick Grill Mates Roasted Garlic & Herb Seasoning,"Salt, Onion, Spices and Herbs (Including Paprika), Roasted Garlic, Annatto, Citric Acid, Dill Weed Oil, and Extractives of Coriander.",4
Morton & Seasoning Tandoori Spice,"Coriander, Cumin, Cinnamon, Garlic, Ginger, Paprika, Cayenne.",3
McCormick Salt Free Onion And Herb Seasoning,"Onion, Garlic, Spices &amp; Herbs (Including Thyme, Marjoram, Basil), Tomato, Modified Corn Starch, Citric Acid &amp; Natural Flavor",4
O Organics Organic Bay Leaves,Organic Bay Leaves.,1
Girards Dressing Greek Feta Vinaigrette,"Canola, Soybean, and Extra Virgin Olive Oil, Water, White Wine Vinegar, Pepperoncini Pepper, Feta Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Distilled Vinegar, Sugar, Salt, Mustard Seed, Dried Garlic, Spice, Xanthan Gum, Potassium Sorbate Added to Maintain Freshness, Calcium Disodium EDTA Added to Protect Flavor.",4
O Olive Oil & Vinegar Vinegar Balsamic White Bottle ,"Aged California White Wine Vinegar, Muscat Juice.",3
Signature SELECT Distilled White Vinegar,"Distilled White Vinegar, Diluted with Water to 5% Acidity.",2
Hemplers Natural Uncured Center Cut No Sugar Bacon,"Pork, Water, Sea Salt, Celery Powder.",2
Biscoff Sandwich Milk Chocolate,"Sugar, Wheat Flour, Vegetable Oils (Contains One or More of Soybean Oil, Sunflower Oil, Canola Oil, Palm Oil), Cocoa Powder Processed with Alkali, Nonfat Dry Milk, Whey Powder, Brown Sugar Syrup, Sodium Bicarbonate (Leavening), Soy Flour, Soy Lecithin (Emulsifier), Salt, Cinnamon.",4
Pearl Milling Company Original Pancake Mix,"Enriched Bleached Flour (Bleached Wheat Flour, Niacinamide, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Salt, Calcium Carbonate.",4
Signature Select/Farms Cherries Dried,"Dried Red Tart Cherries, Sugar, Sunflower Oil.",4
Signature Select/Farms Dried Pears Fancy,"Dried Pears, Sunflower Oil, Sulfur Dioxide and/or Sodium Bisulfite (Preservatives).",4
Signature Select/Farms Salt & Peppert Shelled Pistachios,"Pistachios, Seasoned Kernel, Salt & Pepper, No Shells",3
Perfect Bar Peanut Butter,"Peanut Butter*, Honey*, Nonfat Dry Milk*, Dried Whole Egg Powder*, Rice Protein*, Dried Whole Food Powders (Kale*, Flax Seed*, Rose Hip*, Orange*, Lemon*, Papaya*, Tomato*, Apple*, Alfalfa*, Celery*, Kelp*, Dulse*, Carrot*, Spinach*), Flax Seed Oil*, Sesame Seed Oil*, Olive Oil*, Pumpkin Seed Oil*. *Organic",4
Mango Chips ,Mangoes.,2
Wonderful Pistachios No Shells Roasted & Lightly Salted Pistachios,"Pistachios, Sea Salt.",3
Mariani Premium Cherries ,"Dried Red Tart Cherries, Sugar, Sunflower Oil*. *Adds a trivial amount of fat.",3
Signature Select/Farms Sundried Tomatoes Julienne,"Tomatoes, Sun Dried, in Oil, Julienne Cut",3
Jack Links Beef Jerky Peppered,"Beef, Water, Sugar, Sea Salt, Brown Sugar, Contains 2% or Less of Black Pepper, Flavors, Soy Sauce (Wheat, Soybeans, Salt), Yeast Extract, Hydrolyzed Corn Protein, Maltodextrin, Cultured Celery Extract, Beef Stock, Citric Acid, Pineapple Powder.",4
Tillamook Beef Jerky Old Fashioned,"Beef, Brown Sugar, Beef Broth, Salt, Flavorings, Cultured Celery Powder (Celery Powder, Sea Salt), Apple Cider Vinegar, Vinegar, Granulated Garlic.",4
Takis Fuego Meat Sticks,"Pork, Water, Salt, Spices, Encapsulated Citric Acid, Soy Grits (Defatted), Sugar, Onion Powder, Yeast Extract, Extractives of Paprika, BHA, BHT, Sodium Nitrite, Natural Flavoring, Maltodextrin, Ascorbic Acid, Citric Acid, Lime Oil, Lime Juice.",4
Redwood Hill Farm Goat Yogurt,"Grade A Pasteurized Whole Goat Milk, Modified Tapioca Starch, Pectin, Live and Active Cultures. Contains Live and Active Cultures: S. Thermophilus, Bifidobacterium Lactis, L. Acidophilus, L. Casei, L. Rhamnosus, L. Delbrueckii Subsp. Lactis, L. Delbrueckii Subsp. Bulgaricus.",4
Value Corner Milk Reduced Fat 2%,"Reduced Fat Milk, Fat Free Milk, Vitamin A Palmitate, Vitamin D3",2
Oatly Full Fat Oatmilk,"Oat Base (Water, Oats), Low Erucic Acid Rapeseed Oil. Contains 2% or Less of: Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate, Sea Salt, Dicalcium Phosphate, DHA Algal Oil, Sodium Ascorbate (Antioxidant), Tocopherols (Antioxidant), Riboflavin, Vitamin A, Vitamin D2, Vitamin B12.",4
Lucerne Farms Eggs Cage Free Large,Eggs,1
Mahatma Jasmine Thai Fragrant Long Grain Rice In Bag,Jasmine Rice.,2
Kraft White Cheddar Macaroni & Cheese Dinner with Pasta Shells Box,"ENRICHED MACARONI PRODUCT (WHEAT FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID); CHEESE SAUCE MIX (WHEY, MILK, WHEY PROTEIN CONCENTRATE, SALT, MODIFIED FOOD STARCH, SODIUM TRIPHOSPHATE, CONTAINS LESS THAN 2% OF CREAM, CITRIC ACID, CELLULOSE GEL, CELLULOSE GUM, SODIUM PHOSPHATE, CHEESE CULTURE, ENZYMES).",4
Signature SELECT Pasta Egg Noodles Extra Wide,"Durum Wheat Semolina, Durum Wheat Flour, Eggs, Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid.",3
Barilla Rigatoni Pasta,"Semolina (Wheat), Durum Wheat Flour. Vitamins/Minerals: Vitamin B3 (Niacin), Iron (Ferrous Sulfate), Vitamin B1 (Thiamine Mononitrate), Vitamin B2 (Riboflavin), Folic Acid. Contains: Wheat Ingredients Free From: Peanuts, Tree Nuts, Milk",4
Barilla Ready Pasta Rotini,"Water, Pasta [Semolina (Wheat), Durum Wheat Flour], Extra Virgin Olive Oil, Sea Salt.",4
Barilla Farfalle Pasta,"Semolina (Wheat), Durum Wheat Flour. Vitamins/Minerals: Vitamin B3 (Niacin), Iron (Ferrous Sulfate), Vitamin B1 (Thiamine Mononitrate), Vitamin B2 (Riboflavin), Folic Acid. Contains: Wheat Ingredients Free From: Peanuts, Tree Nuts, Milk",4
Raos Homemade Sauce Marinara Jar,"Italian Whole Peeled Tomatoes, Olive Oil, Onions, Salt, Garlic, Basil, Black Pepper, Oregano.",3
O Organics Dried Mango Family Pack,Organic Dried Mango.,2
Signature Select/Farms Pecan Pieces,Pecans.,1
Signature Select/Farms Peanuts Roasted With Sea Salt,"Peanuts, Sunflower and/or Safflower Oil, Sea Salt.",3
Bolthouse Mixed Berry Parfait Smoothie,"Water, Yogurt (Cultured Milk, Pectin, Carrageenan), Blueberry Puree, Blackberry Puree, Cane Sugar, Dextrin (Soluble Dietary Fiber), Brown Sugar, Contains 2% or Less: Natural Flavors, Vegetable Juice (Color), Whole Grain Brown Rice Flour, Whole Grain Oat Flour, Whey Protein Concentrate, Soy Protein Isolate, Pectin, Citric Acid, Calcium (Dicalcium Phosphate), Phosphorus (Dicalcium Phosphate), Magnesium (Magnesium Oxide), Vitamin E (DL-Alpha-Tocopheryl Acetate), Niacin (Niacinamide), Iron (Ferric Orthophosphate), Zinc (Zinc Oxide), Pantothenic Acid (Calcium D-Pantothenate), Vitamin a (Palmitate), Vitamin B6 (Pyridoxine HCl), Copper (Cupric Oxide), Manganese (Manganese Sulfate), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin HCl), Folic Acid, Biotin, Iodine (Potassium Iodide), Vitamin K (Phytonadione), Vitamin D (Ergocalciferol), Vitamin B12 (Cyanocobalamin), Vitamin C (Ascorbic Acid).",4
Evolution Fresh Organic Cold Pressed Pure Orange Juice,Organic Orange Juice.,3
Evolution Fresh Organic Ruby Roots Cold Pressed Vegetable & Fruit Juice Blend,Ruby Roots,3
Silk Unsweetened Vanilla Almond Milk,ALMONDMILK (FILTERED WATER; ALMONDS); CONTAINS 2 OR LESS OF: VITAMIN AND MINERAL BLEND (CALCIUM CARBONATE; VITAMIN E ACETATE; VITAMIN A PALMITATE; VITAMIN D2); SEA SALT; GELLAN GUM; ASCORBIC ACID (VITAMIN C TO PROTECT FRESHNESS); NATURAL FLAVOR,4
Open Nature Lamb Shoulder Neck Slices,Lamb Rib Chops,1
Red Lobster Cheddar Bay Biscuit Shrimp,"Shrimp, Water, Vegetable Oil (Canola, Cottonseed and/or Soybean), Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Modified Corn Starch, Corn Starch, Yellow Corn Flour, Breadcrumbs [Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Leavening (Sodium Acid Pyrophosphate, Baking Soda), Vegetable Oil (Canola &/or Sunflower), Salt, Yeast, Dough Conditioners (Ascorbic Acid, L-Cysteine Monohydrochloride), Spice Extractives], Garlic Powder, Rice Flour, Tapioca Dextrin, Pea Protein Isolate, Leavening (Sodium Acid Pyrophosphate, Baking Soda), Buttermilk Powder, Onion Powder, Yeast Extract, Corn Maltodextrin, Natural Flavor [Contains Milk, Annatto and Turmeric (Color)], Hydrolyzed Soy Protein, Whey, Cheddar Cheese (Milk, Cheese Culture, Salt, Enzymes), Sugar, Buttermilk, Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Parsley, Methylcellulose, Lactic Acid, Sodium Phosphates, Sodium Tripolyphosphate (to Retain Moisture).",4
Seapak Popcorn Shrimp,"Shrimp, Bleached Wheat Flour, Soybean Oil, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Iron as Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yellow Corn Flour, Modified Cornstarch, Contains Less than 2% of the Following: Salt, Sugar, Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Dextrose, Sodium Tripolyphosphate (to Retain Moisture), Whey Powder (a Milk Derivative), Methylcellulose, Garlic Powder, Yeast, Disodium Inosinate and Disodium Guanylate, Leavening (Sodium Acid Pyrophosphate, Baking Soda), Sodium Alginate, Citric Acid, Paprika Oleoresin, Sodium Bisulfite (as a Preservative).",4
Ground Beef Sirloin 90% Lean 10% Fat,Ground Beef Sirloin,2
Alaskan Snow Legs Crab Flavored Surimi Previously Frozen,"Fish Protein (Pollock and/or Pacific Whiting, Water, Wheat Starch, Sugar, Eggs Sorbitol, Contains 2% or less of: Salt, Tapioca Starch, Soybean Oil, Mirin (Rice Wine), Tetrasodium Pyrophosphate, Sodium Tripolyphosphate, Brown Rice Syrup, Soy Lecithin, Artifical Flavors, Carmine and Paprika Oleoresin for color.",4
Lobster Tail Raw 3 Oz Previously Frozen ,Lobster Tail Raw,1
TAZO Tea Bags Herbal Tea Passion,"Hibiscus Flowers, Natural Flavors, Citric Acid, Licorice Root, Orange Peel, Cinnamon, Rose Hips, Lemon Grass, Fruit Juice Extract (for Color).",4
Sparkling Ice Classic Lemonade Sparkling Water,"Carbonated Water, Contains 2% or Less of: Natural Flavors, Lemon Juice Concentrate, Citric Acid, Green Tea Extract, Potassium Benzoate (to Ensure Freshness), Ester Gum, Gum Arabic, Sucralose, Beta Carotene (for Color), Calcium Disodium EDTA (to Protect Flavor), Niacinamide (Vitamin B3), Retinol (Vitamin A), Calcium Pantothenate (Vitamin B5), Cholecalciferol (Vitamin D3), Biotin, Cyanocobalamin (Vitamin B12), Pyridoxine Hydrochloride (Vitamin B6).",4
Oatly Vanilla Oatmilk Creamer,"Oatmilk (Water, Oats), Liquid Sugar (Sugar, Water), Low Erucic Acid Rapeseed Oil, Contains 2% or Less of: Natural Flavor (Natural Flavor, Caramelized Sugar (Sugar, Water)), Dipotassium Phosphate, Hydrolysed Sunflower Lecithin, Gum Acacia Calcium Carbonate, Gellan Gum, Sea Salt.",4
Open Nature Pork Loin Chops Thin Bone In,Pork Loin Chops,1
Quaker Popped Rice Crisps Gluten Free Buttermilk Ranch,"Whole Grain Brown Rice Flour, Corn Grits, Vegetable Oil (Canola and/or Sunflower Oil), Salt, Buttermilk Powder, Corn Maltodextrin, Milk, Tomato Powder, Dextrose, Onion Powder, Garlic Powder, Natural Flavor, Dried Cream, Sugar, Yeast Extract, Spices, Gum Arabic, Tocopherols (to Preserve Freshness).",4
Smartfood Popcorn White Cheddar,"Popcorn, Vegetable Oil (Corn, Canola, and/or Sunflower Oil), Natural Flavors, Whey, Maltodextrin (Made from Corn), Buttermilk, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), and Salt.",4
Angie's BOOMCHICKAPOP White Cheddar Popcorn,"Popcorn, Sunflower Oil, Whey, Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes), Nonfat Milk, Salt, Lactic Acid, Natural Flavor",4
Land O Frost Sub Sandwich Kit Smoked Ham & Oven Roasted Turkey,"Ham Cured with Water, Dextrose, Salt, Less than 2% of Sodium Phosphates, Modified Corn Starch, Flavorings, Sodium Lactate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite. Oven Roasted White Turkey: White Turkey, Water, Modified Corn Starch, Less than 2% of Salt, Sugar, Carrageenan, Sodium Lactate, Sodium Phosphates, Sodium Erythorbate, Flavorings, Sodium Nitrite.",4
Land O Frost Premium Ham Smoked Thin,"Ham Cured with Water, Salt, Less than 2% of Vinegar, Dextrose, Sodium Erythorbate, Sodium Phosphate, Sodium Nitrate.",4
Jimmy Dean Premium Pork Regular Sausage Roll,"Pork, Water, Contains 2% Or Less: Corn Syrup, Salt, Natural Flavor, Vinegar, Sugar, Pork Broth, Monosodium Glutamate.",4
waterfront BISTRO Shrimp Raw Extra Jumbo Shell & Tail On,"Shrimp (Litopenaeus Vannamei), Salt, Sodium Tripolyphosphate (to Retain Moisture).",4
Iceberg Lettuce,Iceburg Lettuce,1
Butter Bibb / Boston Lettuce,Boston Lettuce,1
Navel Orange Large,Navel Orange Large,1
Organic Meyer Lemon,Lemons,1
Milton's Craft Bakers Margherita Cauliflower Crust Pizza,"Cauliflower Crust (Cauliflower, Low Moisture Mozzarella Cheese Pasteurized Milk, Cheese Cultures, Salt, Enzyme}, Rice Flour, Tapioca Starch, Rice Starch, Egg Whites, Modified Rice Starch, Yeast, Contains Less than 2% of the Following: Cane Sugar, Salt, Cultured Brown Rice, Garlic Powder, Spices, Xanthan Gum, Brown Rice Flour, Citric Acid, Lactic Acid, Low Moisture Part Skim Mozzarella Cheese (Pasteurized Part Skim Milk, Cheese Cultures, Salt, Enzymes), Tomato Sauce Water, Tomato Paste, Seasoning {Cane Sugar, Sea Salt, Dehydrated Onion and Garlic, Spices], Sea Salt), Tomatoes, Provolone Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Pecorino Romano and Parmesan Cheese Blend (Pecorino Romano Cheese â€¹Pasteurized Sheep's Milk, Salt, Enzymes], Parmesan Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes}), Basil.",4
NAKANO Natural Rice Vinegar,"Rice Vinegar, Diluted with Water to 4.2% Acidity.",2